,Name,Positions,Position_Group,HT_in,College_Weight,Hand_Size,Arm_Length,Wing_Length,Height,HS_Weight,is_outlier
0,Kolton Miller,OL,BIGS,80.625,309.0,10.75,34.125,82.5,80,281,False
1,Zach Banner,OL,BIGS,80.375,353.0,10.75,34.88,82.63,80,305,False
2,Cole Kelley,QB,MIDS,79.375,249.0,9.875,33.75,81.25,79,246,False
3,Colby Parkinson,TE,MIDS,79.25,252.0,9.625,33.25,78.625,79,228,False
4,Jelani Woods,QB,MIDS,79.125,253.0,9.5,34.5,82.0,79,230,False
5,Kaleb McGary,OL,BIGS,79.125,317.0,10.125,32.875,79.75,80,284,False
6,Tyree Jackson,QB,MIDS,79.0,249.0,10.25,34.25,83.75,75,200,False
7,Jesse James,TE,MIDS,79.0,261.0,9.375,33.0,80.875,80,243,False
8,DeForest Buckner,DL,BIGS,79.0,291.0,11.75,34.375,82.0,79,230,True
9,Jaxson Kirkland,OL,BIGS,78.875,321.0,10.5,33.5,81.875,79,314,False
10,Andrew Stueber,OL,BIGS,78.625,325.0,10.0,34.125,79.875,79,290,False
11,Jerry Tillery,OL,BIGS,78.5,295.0,10.625,34.25,81.0,78,317,False
12,Obinna Eze,OL,BIGS,78.5,321.0,9.875,36.125,85.75,79,279,False
13,Jaryd Jones-Smith,OL,BIGS,78.5,317.0,10.0,36.25,88.5,78,313,False
14,Isaiah Wilson,OL,BIGS,78.5,350.0,10.25,35.5,84.375,79,354,False
16,Abraham Lucas,OL,BIGS,78.375,315.0,10.5,33.875,81.75,79,256,False
17,Kyle Murphy,OL,BIGS,78.375,305.0,9.75,33.5,80.5,78,270,False
18,Kyle Murphy,OL,BIGS,75.25,316.0,10.0,33.875,79.875,78,270,False
19,Braden Smith,OL,BIGS,78.25,315.0,9.375,32.25,78.125,78,285,False
20,Ereck Flowers,OL,BIGS,78.25,329.0,9.875,34.5,83.25,78,295,False
21,Darren Waller,DB,SKILLS,78.125,238.0,9.0,33.25,80.5,76,203,False
22,Raekwon Davis,DL,BIGS,78.125,311.0,11.0,33.875,85.25,80,318,False
23,Bucky Hodges,QB,MIDS,78.0,257.0,10.13,32.5,78.0,78,220,False
24,Ezra Cleveland,DL,BIGS,78.0,311.0,9.0,33.375,80.375,78,293,False
25,Lucas Niang,OL,BIGS,78.0,315.0,10.5,34.25,83.125,77,312,False
26,Ali Gaye,DL,BIGS,78.0,263.0,9.5,34.25,80.125,78,260,False
27,Andrew Vorhees,OL,BIGS,78.0,310.0,10.0,32.125,77.75,78,293,False
28,Jacob Eason,QB,MIDS,77.875,231.0,9.5,32.875,79.0,78,217,False
29,Paul Adams,OL,BIGS,77.875,317.0,10.0,33.5,81.625,79,262,False
30,Michael Jordan,OL,BIGS,77.875,312.0,10.0,34.25,83.0,78,309,False
31,Thayer Munford,OL,BIGS,77.75,328.0,10.125,35.125,84.625,78,343,False
32,Henry Bainivalu,OL,BIGS,77.75,306.0,10.75,34.0,81.125,78,302,False
33,Taco Charlton,DL,BIGS,77.625,277.0,9.75,34.25,81.88,78,249,False
34,Adam Bisnowaty,OL,BIGS,77.625,304.0,11.38,33.88,80.5,78,277,True
35,Dawson Deaton,OL,BIGS,77.5,306.0,9.625,32.875,79.5,77,297,False
36,Tyler Johnstone,OL,BIGS,77.5,301.0,10.375,34.0,83.375,77,245,False
37,Carter Warren,OL,BIGS,77.5,311.0,9.125,35.375,84.5,78,321,False
38,Dalton Schultz,TE,MIDS,77.375,244.0,9.5,31.25,75.375,78,235,False
39,Jalen Jelks,DL,BIGS,77.375,256.0,9.625,34.625,83.0,77,246,False
