season,team,conference,off_ppa_overall,off_ppa_passing,off_ppa_rushing,off_success_rate,off_explosiveness,def_ppa_overall,def_ppa_passing,def_ppa_rushing,def_success_rate,def_explosiveness
2018,Air Force,Mountain West,0.2,0.49,0.13,,,0.17,0.37,0.02,,
2018,Akron,Mid-American,0.02,0.1,-0.07,,,0.08,0.08,0.08,,
2018,Alabama,SEC,0.39,0.64,0.21,,,0.05,0.06,0.04,,
2018,App State,Sun Belt,0.25,0.32,0.23,,,-0.01,-0.04,0.01,,
2018,Arizona,Pac-12,0.2,0.3,0.13,,,0.19,0.28,0.12,,
2018,Arizona State,Pac-12,0.22,0.32,0.17,,,0.17,0.28,0.1,,
2018,Arkansas,SEC,0.09,0.11,0.08,,,0.2,0.31,0.13,,
2018,Arkansas State,Sun Belt,0.2,0.26,0.15,,,0.12,0.14,0.12,,
2018,Army,FBS Independents,0.29,0.75,0.24,,,0.14,0.24,0.03,,
2018,Auburn,SEC,0.16,0.29,0.06,,,0.07,0.14,0.01,,
2018,Ball State,Mid-American,0.16,0.17,0.15,,,0.22,0.24,0.22,,
2018,Baylor,Big 12,0.24,0.27,0.22,,,0.26,0.28,0.26,,
2018,Boise State,Mountain West,0.26,0.44,0.1,,,0.12,0.17,0.07,,
2018,Boston College,ACC,0.12,0.27,0.04,,,0.06,0.09,0.06,,
2018,Bowling Green,Mid-American,0.11,0.25,-0.02,,,0.3,0.22,0.35,,
2018,Buffalo,Mid-American,0.19,0.27,0.14,,,0.15,0.17,0.15,,
2018,BYU,FBS Independents,0.15,0.19,0.13,,,0.1,0.16,0.05,,
2018,California,Pac-12,0.02,0.02,0.04,,,0.01,-0.04,0.06,,
2018,Central Michigan,Mid-American,-0.03,-0.08,0.02,,,0.07,0.05,0.09,,
2018,Charlotte,Conference USA,0.12,0.16,0.07,,,0.11,0.27,-0.04,,
2018,Cincinnati,American Athletic,0.24,0.32,0.2,,,0.01,0.05,-0.02,,
2018,Clemson,ACC,0.34,0.37,0.35,,,-0.05,0.03,-0.11,,
2018,Coastal Carolina,Sun Belt,0.2,0.28,0.16,,,0.32,0.36,0.29,,
2018,Colorado,Pac-12,0.1,0.19,0.01,,,0.14,0.24,0.04,,
2018,Colorado State,Mountain West,0.14,0.24,0.01,,,0.27,0.42,0.19,,
2018,Duke,ACC,0.13,0.15,0.12,,,0.15,0.13,0.17,,
2018,East Carolina,American Athletic,0.07,0.11,0.01,,,0.21,0.36,0.08,,
2018,Eastern Michigan,Mid-American,0.12,0.3,-0.02,,,0.08,0.05,0.11,,
2018,Florida,SEC,0.24,0.3,0.23,,,0.08,0.04,0.12,,
2018,Florida Atlantic,Conference USA,0.21,0.23,0.21,,,0.17,0.29,0.06,,
2018,Florida International,Conference USA,0.26,0.45,0.12,,,0.17,0.15,0.2,,
2018,Florida State,ACC,0.09,0.22,-0.08,,,0.08,0.2,0.01,,
2018,Fresno State,Mountain West,0.24,0.38,0.12,,,0.03,0.04,0.02,,
2018,Georgia,SEC,0.34,0.53,0.23,,,0.06,0.11,0.05,,
2018,Georgia Southern,Sun Belt,0.19,0.31,0.18,,,0.15,0.22,0.1,,
2018,Georgia State,Sun Belt,0.18,0.28,0.1,,,0.38,0.58,0.27,,
