season,team,offense_firstDowns,offense_firstDownsOpponent,offense_fourthDownConversions,offense_fourthDownConversionsOpponent,offense_fourthDowns,offense_fourthDownsOpponent,offense_fumblesLost,offense_fumblesLostOpponent,offense_fumblesRecovered,offense_fumblesRecoveredOpponent,offense_games,offense_interceptions,offense_interceptionsOpponent,offense_interceptionTDs,offense_interceptionTDsOpponent,offense_interceptionYards,offense_interceptionYardsOpponent,offense_kickReturns,offense_kickReturnsOpponent,offense_kickReturnTDs,offense_kickReturnTDsOpponent,offense_kickReturnYards,offense_kickReturnYardsOpponent,offense_netPassingYards,offense_netPassingYardsOpponent,offense_passAttempts,offense_passAttemptsOpponent,offense_passCompletions,offense_passCompletionsOpponent,offense_passesIntercepted,offense_passesInterceptedOpponent,offense_passingTDs,offense_passingTDsOpponent,offense_penalties,offense_penaltiesOpponent,offense_penaltyYards,offense_penaltyYardsOpponent,offense_possessionTime,offense_possessionTimeOpponent,offense_puntReturns,offense_puntReturnsOpponent,offense_puntReturnTDs,offense_puntReturnTDsOpponent,offense_puntReturnYards,offense_puntReturnYardsOpponent,offense_rushingAttempts,offense_rushingAttemptsOpponent,offense_rushingTDs,offense_rushingTDsOpponent,offense_rushingYards,offense_rushingYardsOpponent,offense_sacks,offense_sacksOpponent,offense_tacklesForLoss,offense_tacklesForLossOpponent,offense_thirdDownConversions,offense_thirdDownConversionsOpponent,offense_thirdDowns,offense_thirdDownsOpponent,offense_totalYards,offense_totalYardsOpponent,offense_turnovers,offense_turnoversOpponent,defense_firstDowns,defense_firstDownsOpponent,defense_fourthDownConversions,defense_fourthDownConversionsOpponent,defense_fourthDowns,defense_fourthDownsOpponent,defense_fumblesLost,defense_fumblesLostOpponent,defense_fumblesRecovered,defense_fumblesRecoveredOpponent,defense_games,defense_interceptions,defense_interceptionsOpponent,defense_interceptionTDs,defense_interceptionTDsOpponent,defense_interceptionYards,defense_interceptionYardsOpponent,defense_kickReturns,defense_kickReturnsOpponent,defense_kickReturnTDs,defense_kickReturnTDsOpponent,defense_kickReturnYards,defense_kickReturnYardsOpponent,defense_netPassingYards,defense_netPassingYardsOpponent,defense_passAttempts,defense_passAttemptsOpponent,defense_passCompletions,defense_passCompletionsOpponent,defense_passesIntercepted,defense_passesInterceptedOpponent,defense_passingTDs,defense_passingTDsOpponent,defense_penalties,defense_penaltiesOpponent,defense_penaltyYards,defense_penaltyYardsOpponent,defense_possessionTime,defense_possessionTimeOpponent,defense_puntReturns,defense_puntReturnsOpponent,defense_puntReturnTDs,defense_puntReturnTDsOpponent,defense_puntReturnYards,defense_puntReturnYardsOpponent,defense_rushingAttempts,defense_rushingAttemptsOpponent,defense_rushingTDs,defense_rushingTDsOpponent,defense_rushingYards,defense_rushingYardsOpponent,defense_sacks,defense_sacksOpponent,defense_tacklesForLoss,defense_tacklesForLossOpponent,defense_thirdDownConversions,defense_thirdDownConversionsOpponent,defense_thirdDowns,defense_thirdDownsOpponent,defense_totalYards,defense_totalYardsOpponent,defense_turnovers,defense_turnoversOpponent
2018,Air Force,264.0,209.0,24.0,8.0,39.0,18.0,10.0,7.0,7.0,8.0,12,5.0,7.0,2.0,0.0,131.0,8.0,12.0,32.0,0.0,0.0,233.0,550.0,1576.0,2928.0,168.0,326.0,93.0,200.0,7.0,5.0,10.0,23.0,54.0,72.0,521.0,676.0,24640.0,18329.0,12.0,11.0,1.0,1.0,110.0,187.0,713.0,406.0,33.0,17.0,3404.0,1403.0,12.0,7.0,51.0,59.0,70.0,64.0,169.0,153.0,4980.0,4331.0,15.0,14.0,264.0,209.0,24.0,8.0,39.0,18.0,10.0,7.0,7.0,8.0,12,5.0,7.0,2.0,0.0,131.0,8.0,12.0,32.0,0.0,0.0,233.0,550.0,1576.0,2928.0,168.0,326.0,93.0,200.0,7.0,5.0,10.0,23.0,54.0,72.0,521.0,676.0,24640.0,18329.0,12.0,11.0,1.0,1.0,110.0,187.0,713.0,406.0,33.0,17.0,3404.0,1403.0,12.0,7.0,51.0,59.0,70.0,64.0,169.0,153.0,4980.0,4331.0,15.0,14.0
2018,Akron,202.0,256.0,5.0,12.0,17.0,24.0,12.0,11.0,9.0,7.0,12,14.0,10.0,2.0,2.0,209.0,35.0,24.0,18.0,0.0,0.0,343.0,420.0,2390.0,2293.0,374.0,367.0,187.0,222.0,10.0,14.0,16.0,13.0,80.0,77.0,733.0,766.0,20269.0,22852.0,17.0,23.0,1.0,1.0,150.0,140.0,390.0,530.0,5.0,23.0,1159.0,2411.0,22.0,34.0,81.0,83.0,49.0,70.0,169.0,189.0,3549.0,4704.0,26.0,21.0,202.0,256.0,5.0,12.0,17.0,24.0,12.0,11.0,9.0,7.0,12,14.0,10.0,2.0,2.0,209.0,35.0,24.0,18.0,0.0,0.0,343.0,420.0,2390.0,2293.0,374.0,367.0,187.0,222.0,10.0,14.0,16.0,13.0,80.0,77.0,733.0,766.0,20269.0,22852.0,17.0,23.0,1.0,1.0,150.0,140.0,390.0,530.0,5.0,23.0,1159.0,2411.0,22.0,34.0,81.0,83.0,49.0,70.0,169.0,189.0,3549.0,4704.0,26.0,21.0
2018,Alabama,372.0,253.0,7.0,11.0,16.0,24.0,8.0,7.0,6.0,7.0,15,8.0,14.0,4.0,2.0,276.0,149.0,24.0,41.0,1.0,0.0,523.0,825.0,4854.0,2974.0,438.0,465.0,301.0,244.0,14.0,8.0,52.0,22.0,86.0,91.0,796.0,776.0,27411.0,26376.0,20.0,8.0,1.0,0.0,250.0,31.0,572.0,516.0,33.0,11.0,2974.0,1818.0,44.0,14.0,105.0,58.0,86.0,76.0,165.0,223.0,7828.0,4792.0,16.0,21.0,372.0,253.0,7.0,11.0,16.0,24.0,8.0,7.0,6.0,7.0,15,8.0,14.0,4.0,2.0,276.0,149.0,24.0,41.0,1.0,0.0,523.0,825.0,4854.0,2974.0,438.0,465.0,301.0,244.0,14.0,8.0,52.0,22.0,86.0,91.0,796.0,776.0,27411.0,26376.0,20.0,8.0,1.0,0.0,250.0,31.0,572.0,516.0,33.0,11.0,2974.0,1818.0,44.0,14.0,105.0,58.0,86.0,76.0,165.0,223.0,7828.0,4792.0,16.0,21.0
2018,App State,264.0,208.0,13.0,6.0,22.0,22.0,5.0,6.0,6.0,5.0,13,12.0,17.0,1.0,1.0,253.0,152.0,22.0,33.0,1.0,0.0,640.0,853.0,2478.0,2108.0,319.0,372.0,196.0,210.0,17.0,12.0,27.0,8.0,80.0,77.0,747.0,630.0,23860.0,22932.0,29.0,16.0,3.0,0.0,378.0,62.0,539.0,471.0,31.0,12.0,3117.0,1645.0,28.0,18.0,84.0,62.0,71.0,59.0,170.0,187.0,5595.0,3753.0,17.0,23.0,264.0,208.0,13.0,6.0,22.0,22.0,5.0,6.0,6.0,5.0,13,12.0,17.0,1.0,1.0,253.0,152.0,22.0,33.0,1.0,0.0,640.0,853.0,2478.0,2108.0,319.0,372.0,196.0,210.0,17.0,12.0,27.0,8.0,80.0,77.0,747.0,630.0,23860.0,22932.0,29.0,16.0,3.0,0.0,378.0,62.0,539.0,471.0,31.0,12.0,3117.0,1645.0,28.0,18.0,84.0,62.0,71.0,59.0,170.0,187.0,5595.0,3753.0,17.0,23.0
2018,Arizona,264.0,282.0,8.0,17.0,13.0,28.0,9.0,8.0,8.0,9.0,12,10.0,7.0,1.0,0.0,164.0,56.0,41.0,11.0,1.0,0.0,773.0,231.0,3063.0,3234.0,389.0,440.0,216.0,281.0,7.0,10.0,29.0,27.0,90.0,104.0,852.0,987.0,18729.0,22853.0,21.0,13.0,0.0,0.0,202.0,96.0,493.0,464.0,14.0,24.0,2429.0,1950.0,23.0,15.0,71.0,37.0,73.0,77.0,164.0,186.0,5492.0,5184.0,19.0,15.0,264.0,282.0,8.0,17.0,13.0,28.0,9.0,8.0,8.0,9.0,12,10.0,7.0,1.0,0.0,164.0,56.0,41.0,11.0,1.0,0.0,773.0,231.0,3063.0,3234.0,389.0,440.0,216.0,281.0,7.0,10.0,29.0,27.0,90.0,104.0,852.0,987.0,18729.0,22853.0,21.0,13.0,0.0,0.0,202.0,96.0,493.0,464.0,14.0,24.0,2429.0,1950.0,23.0,15.0,71.0,37.0,73.0,77.0,164.0,186.0,5492.0,5184.0,19.0,15.0
2018,Arizona State,277.0,292.0,14.0,8.0,18.0,13.0,4.0,9.0,9.0,4.0,13,7.0,12.0,1.0,2.0,177.0,104.0,29.0,24.0,0.0,0.0,563.0,529.0,3023.0,3039.0,395.0,407.0,246.0,246.0,12.0,7.0,20.0,20.0,80.0,71.0,636.0,637.0,22959.0,23784.0,22.0,21.0,1.0,2.0,227.0,353.0,501.0,513.0,26.0,17.0,2393.0,2217.0,29.0,16.0,83.0,70.0,76.0,78.0,181.0,185.0,5416.0,5256.0,11.0,21.0,277.0,292.0,14.0,8.0,18.0,13.0,4.0,9.0,9.0,4.0,13,7.0,12.0,1.0,2.0,177.0,104.0,29.0,24.0,0.0,0.0,563.0,529.0,3023.0,3039.0,395.0,407.0,246.0,246.0,12.0,7.0,20.0,20.0,80.0,71.0,636.0,637.0,22959.0,23784.0,22.0,21.0,1.0,2.0,227.0,353.0,501.0,513.0,26.0,17.0,2393.0,2217.0,29.0,16.0,83.0,70.0,76.0,78.0,181.0,185.0,5416.0,5256.0,11.0,21.0
2018,Arkansas,219.0,258.0,5.0,7.0,14.0,15.0,8.0,11.0,10.0,8.0,12,18.0,5.0,0.0,2.0,5.0,203.0,23.0,29.0,0.0,2.0,530.0,608.0,2301.0,2944.0,370.0,346.0,202.0,220.0,5.0,18.0,17.0,22.0,68.0,74.0,606.0,633.0,21398.0,21673.0,9.0,17.0,0.0,1.0,91.0,209.0,440.0,479.0,11.0,25.0,1720.0,2016.0,26.0,32.0,68.0,88.0,52.0,59.0,168.0,154.0,4021.0,4960.0,26.0,16.0,219.0,258.0,5.0,7.0,14.0,15.0,8.0,11.0,10.0,8.0,12,18.0,5.0,0.0,2.0,5.0,203.0,23.0,29.0,0.0,2.0,530.0,608.0,2301.0,2944.0,370.0,346.0,202.0,220.0,5.0,18.0,17.0,22.0,68.0,74.0,606.0,633.0,21398.0,21673.0,9.0,17.0,0.0,1.0,91.0,209.0,440.0,479.0,11.0,25.0,1720.0,2016.0,26.0,32.0,68.0,88.0,52.0,59.0,168.0,154.0,4021.0,4960.0,26.0,16.0
2018,Arkansas State,300.0,232.0,16.0,11.0,30.0,22.0,6.0,8.0,8.0,6.0,13,10.0,12.0,2.0,1.0,120.0,104.0,31.0,50.0,0.0,0.0,695.0,803.0,3659.0,2311.0,472.0,339.0,303.0,193.0,12.0,10.0,28.0,23.0,99.0,82.0,885.0,796.0,23491.0,23306.0,34.0,10.0,1.0,0.0,278.0,-16.0,508.0,523.0,18.0,21.0,2414.0,2502.0,30.0,24.0,89.0,72.0,80.0,67.0,201.0,186.0,6073.0,4813.0,16.0,20.0,300.0,232.0,16.0,11.0,30.0,22.0,6.0,8.0,8.0,6.0,13,10.0,12.0,2.0,1.0,120.0,104.0,31.0,50.0,0.0,0.0,695.0,803.0,3659.0,2311.0,472.0,339.0,303.0,193.0,12.0,10.0,28.0,23.0,99.0,82.0,885.0,796.0,23491.0,23306.0,34.0,10.0,1.0,0.0,278.0,-16.0,508.0,523.0,18.0,21.0,2414.0,2502.0,30.0,24.0,89.0,72.0,80.0,67.0,201.0,186.0,6073.0,4813.0,16.0,20.0
2018,Army,283.0,204.0,31.0,15.0,36.0,30.0,5.0,13.0,13.0,5.0,13,2.0,5.0,0.0,0.0,11.0,6.0,12.0,45.0,0.0,0.0,152.0,912.0,1041.0,2454.0,97.0,328.0,52.0,193.0,5.0,2.0,7.0,17.0,63.0,72.0,626.0,549.0,29889.0,16728.0,13.0,8.0,0.0,0.0,218.0,29.0,822.0,360.0,47.0,12.0,4059.0,1385.0,16.0,3.0,55.0,36.0,111.0,34.0,195.0,129.0,5100.0,3839.0,7.0,18.0,283.0,204.0,31.0,15.0,36.0,30.0,5.0,13.0,13.0,5.0,13,2.0,5.0,0.0,0.0,11.0,6.0,12.0,45.0,0.0,0.0,152.0,912.0,1041.0,2454.0,97.0,328.0,52.0,193.0,5.0,2.0,7.0,17.0,63.0,72.0,626.0,549.0,29889.0,16728.0,13.0,8.0,0.0,0.0,218.0,29.0,822.0,360.0,47.0,12.0,4059.0,1385.0,16.0,3.0,55.0,36.0,111.0,34.0,195.0,129.0,5100.0,3839.0,7.0,18.0
2018,Auburn,248.0,234.0,11.0,7.0,22.0,20.0,8.0,8.0,8.0,8.0,13,5.0,14.0,3.0,0.0,173.0,44.0,22.0,16.0,1.0,0.0,466.0,312.0,2892.0,2844.0,382.0,420.0,233.0,233.0,14.0,5.0,21.0,16.0,73.0,82.0,651.0,684.0,20252.0,22878.0,29.0,11.0,1.0,0.0,332.0,37.0,512.0,474.0,25.0,9.0,2177.0,1776.0,37.0,19.0,90.0,54.0,61.0,65.0,164.0,182.0,5069.0,4620.0,13.0,22.0,248.0,234.0,11.0,7.0,22.0,20.0,8.0,8.0,8.0,8.0,13,5.0,14.0,3.0,0.0,173.0,44.0,22.0,16.0,1.0,0.0,466.0,312.0,2892.0,2844.0,382.0,420.0,233.0,233.0,14.0,5.0,21.0,16.0,73.0,82.0,651.0,684.0,20252.0,22878.0,29.0,11.0,1.0,0.0,332.0,37.0,512.0,474.0,25.0,9.0,2177.0,1776.0,37.0,19.0,90.0,54.0,61.0,65.0,164.0,182.0,5069.0,4620.0,13.0,22.0
