College_Weight,HS_Weight,Height,Arm_Length,Hand_Size,Position_Group
214,179,74,33.0,9.25,QB
214,179,74,33.0,9.25,QB
212,194,70,31.375,8.5,RB
233,224,73,32.625,10.375,RB
209,185,69,31.0,10.0,RB
197,200,70,32.75,10.0,WR
252,232,75,33.0,9.25,TE
237,205,74,32.375,10.0,LB
210,202,71,30.0,10.0,DB
229,208,71,31.625,9.375,RB
217,200,70,30.25,9.375,RB
215,182,72,32.375,9.75,RB
231,210,75,32.0,8.625,RB
215,215,70,30.75,9.5,RB
195,180,68,29.875,8.25,RB
198,180,73,32.25,9.25,WR
213,191,75,33.75,9.875,WR
201,164,74,31.25,9.0,WR
196,228,75,29.625,8.25,WR
195,185,72,31.25,10.0,WR
185,167,69,30.25,9.375,WR
182,170,72,31.625,9.0,WR
238,203,76,33.25,9.0,WR
261,243,80,33.0,9.375,TE
305,281,77,33.25,10.375,OL
329,295,78,34.5,9.875,OL
307,275,78,33.625,10.0,OL
313,299,75,35.0,9.25,DL
338,305,76,34.125,9.875,DL
298,263,73,32.375,9.5,DL
227,215,74,30.25,9.25,LB
244,224,73,32.75,9.625,LB
228,210,74,33.0,9.5,LB
218,190,71,32.25,9.125,DB
196,190,73,32.125,9.125,DB
228,210,72,31.5,9.375,DB
193,176,71,31.375,8.625,DB
200,177,71,30.25,9.375,DB
218,188,72,32.0,9.5,DB
200,184,71,31.0,9.75,DB
209,195,75,32.0,9.5,DB
186,158,71,31.0,8.25,DB
194,180,72,31.0,8.625,DB
234,224,76,33.5,9.75,QB
234,224,76,33.5,9.75,QB
223,212,76,32.0,9.0,QB
228,210,70,30.25,9.375,RB
210,195,73,31.75,9.75,RB
247,243,75,33.0,8.75,RB
219,190,71,31.625,9.375,RB
207,216,71,29.25,8.25,RB
204,190,68,30.0,9.0,RB
220,220,73,32.0,10.25,RB
197,185,70,29.5,9.125,WR
194,183,71,32.25,9.0,WR
194,170,74,32.25,9.0,WR
194,175,71,30.25,9.0,WR
203,181,71,32.25,9.125,WR
209,195,74,32.75,9.25,WR
203,175,75,33.375,10.5,WR
197,166,72,31.375,8.25,WR
215,200,74,32.375,9.5,WR
200,196,71,31.5,9.625,WR
248,238,77,34.5,10.125,TE
326,320,77,35.25,10.5,OL
312,285,77,33.875,10.125,OL
301,245,77,34.0,10.375,OL
311,264,76,33.625,9.625,OL
335,333,76,34.625,9.625,OL
305,270,78,33.5,9.75,OL
294,302,77,33.25,10.5,OL
303,280,75,33.0,9.875,OL
310,295,78,34.25,10.0,OL
293,280,74,32.625,9.625,DL
311,291,77,34.75,10.0,DL
320,297,73,32.75,9.875,DL
294,265,77,33.875,10.375,DL
265,223,76,34.125,10.125,DL
303,248,76,33.0,9.375,DL
307,304,77,34.5,10.5,DL
253,220,76,32.25,9.375,DL
301,251,76,34.5,9.875,DL
259,245,75,34.25,11.25,LB
236,215,73,31.0,9.875,LB
232,205,74,33.25,9.75,LB
241,210,72,32.0,9.75,LB
237,242,73,31.625,10.875,LB
248,225,74,31.25,9.875,LB
231,222,72,31.0,8.125,LB
254,184,75,33.875,10.25,LB
247,245,75,32.0,9.875,LB
223,212,75,33.0,9.5,LB
199,185,72,31.375,9.375,DB
192,194,73,31.75,8.25,DB
193,183,72,33.25,9.5,DB
199,177,73,30.875,9.25,DB
212,185,73,32.375,10.5,DB
176,160,70,30.625,8.125,DB
197,185,71,31.375,9.125,DB
211,203,73,32.75,10.625,DB
209,190,72,33.375,9.5,DB
171,161,74,32.25,9.0,DB
185,165,72,31.375,9.375,DB
216,205,72,31.125,9.75,DB
193,175,71,31.5,9.25,DB
183,155,69,30.625,9.125,DB
216,190,75,32.625,9.25,QB
213,195,75,32.25,9.625,QB
213,195,75,32.25,9.625,QB
221,190,75,33.0,9.75,QB
210,196,71,32.375,9.25,RB
