Weight.x,Converted_Arm,Converted_Hand,Height,Weight.y,Dash40,Shuttle20,Vertical,Position_Group
214,33,9.25,74,179,4.88,4.13,31.5,QB
214,33,9.25,74,179,4.88,4.13,31.5,QB
212,31.375,8.5,70,194,4.63,4.44,33.5,RB
233,32.625,10.375,73,224,4.8,4.5,28,RB
209,31,10,69,185,4.51,4.03,31.5,RB
197,32.75,10,70,200,4.62,4.02,36.8,WR
252,33,9.25,75,232,4.7,4.47,42,TE
266,34.125,9.5,71,170,4.84,4.37,31.8,DL
237,32.375,10,74,205,4.44,4.56,38,LB
210,30,10,71,202,4.56,4.16,29.5,DB
229,31.625,9.375,71,208,4.75,4.29,35,RB
217,30.25,9.375,70,200,4.62,4.02,36.8,RB
215,32.375,9.75,72,182,4.52,4.31,40.2,RB
231,32,8.625,75,314,5.95,5,19,RB
231,32,8.625,75,210,4.72,NA,24,RB
215,30.75,9.5,70,215,4.7,4.69,31.7,RB
195,29.875,8.25,68,180,4.37,4.38,35.5,RB
198,32.25,9.25,73,180,4.59,4.56,29.5,WR
213,33.75,9.875,75,191,4.51,4.4,38.1,WR
201,31.25,9,74,164,4.67,4.27,41.5,WR
196,29.625,8.25,75,228,5.28,4.69,24.7,WR
195,31.25,10,72,185,4.45,4.29,31.5,WR
185,30.25,9.375,69,167,4.43,4.28,36.5,WR
182,31.625,9,72,170,4.42,4.16,41,WR
238,33.25,9,76,203,4.4,4.5,36.5,WR
261,33,9.375,80,243,4.88,4.5,27.9,TE
305,33.25,10.375,77,281,5.37,4.89,24,OL
329,34.5,9.875,78,295,5.52,5.14,19.6,OL
307,33.625,10,78,275,5.17,4.88,27.6,OL
313,35,9.25,75,299,5.66,5.6,24.9,DL
338,34.125,9.875,76,305,5.11,4.77,28.1,DL
298,32.375,9.5,73,263,4.93,4.63,26.3,DL
227,30.25,9.25,74,215,4.51,4.2,33.8,LB
244,32.75,9.625,73,224,4.74,4.42,27.5,LB
228,33,9.5,74,210,4.57,4.21,30,LB
218,32.25,9.125,71,190,4.8,4.1,35.8,DB
196,32.125,9.125,73,190,4.42,4,38.4,DB
228,31.5,9.375,72,210,4.39,4.46,43.6,DB
193,31.375,8.625,71,176,4.31,4.28,36,DB
200,30.25,9.375,71,177,4.56,3.97,41.2,DB
218,32,9.5,72,188,4.65,4.27,23.5,DB
200,31,9.75,71,184,4.6,4.61,27,DB
209,32,9.5,75,195,4.65,4.65,30.1,DB
186,31,8.25,71,158,4.33,4.45,33,DB
194,31,8.625,72,180,4.46,4.31,39.6,DB
234,33.5,9.75,76,224,4.54,4.34,26.5,QB
234,33.5,9.75,76,224,4.54,4.34,26.5,QB
223,32,9,76,212,4.84,4.34,30.1,QB
228,30.25,9.375,70,210,4.71,4.25,30.9,RB
210,31.75,9.75,73,195,4.52,4.18,38.4,RB
247,33,8.75,75,243,4.72,4.47,37.5,RB
219,31.625,9.375,71,190,4.43,NA,33.8,RB
207,29.25,8.25,71,216,4.63,4.59,31,RB
204,30,9,68,190,4.61,4.19,34.5,RB
220,32,10.25,73,220,4.64,4.31,34,RB
197,29.5,9.125,70,185,4.63,3.93,31.2,WR
194,32.25,9,71,183,4.6,4.47,35.7,WR
194,32.25,9,74,170,4.44,4.48,33.5,WR
194,30.25,9,71,175,4.41,3.8,37.6,WR
203,32.25,9.125,71,181,4.75,4.35,30.2,WR
209,32.75,9.25,74,195,4.69,4.13,29,WR
203,33.375,10.5,75,175,4.75,4.39,30.7,WR
197,31.375,8.25,72,166,4.44,4.11,36.1,WR
215,32.375,9.5,74,200,4.55,4.25,40.1,WR
200,31.5,9.625,71,196,4.66,4.13,38.2,WR
248,34.5,10.125,77,238,5.18,5,28.7,TE
326,35.25,10.5,77,320,5.76,4.85,21.6,OL
312,33.875,10.125,77,285,5.38,4.68,28,OL
301,34,10.375,77,245,5.17,4.47,30.5,OL
311,33.625,9.625,76,264,5.05,4.78,26.5,OL
335,34.625,9.625,76,333,5.63,5.15,21.8,OL
305,33.5,9.75,78,270,5.31,4.52,28.3,OL
294,33.25,10.5,77,302,5.68,5.09,23.1,OL
303,33,9.875,75,280,5.28,4.61,27.6,OL
310,34.25,10,78,295,5.12,4.61,27.7,OL
293,32.625,9.625,74,280,5.36,4.73,25.3,DL
311,34.75,10,77,291,5.25,4.91,20.5,DL
320,32.75,9.875,73,297,4.9,5.04,NA,DL
294,33.875,10.375,77,265,NA,NA,32,DL
265,34.125,10.125,76,223,5.05,4.69,30.1,DL
303,33,9.375,76,248,4.82,4.56,34.3,DL
307,34.5,10.5,77,304,5.13,4.62,28.4,DL
253,32.25,9.375,76,220,5.27,4.51,25.4,DL
301,34.5,9.875,76,251,4.9,4.57,24.6,DL
259,34.25,11.25,75,245,4.67,4.41,33,LB
236,31,9.875,73,215,4.66,4.5,38.7,LB
232,33.25,9.75,74,205,4.68,4.53,34.6,LB
241,32,9.75,72,210,4.73,4.37,34.2,LB
237,31.625,10.875,73,242,5.1,NA,23.5,LB
248,31.25,9.875,74,225,4.65,4.31,26.5,LB
231,31,8.125,72,222,4.48,4.47,38.9,LB
254,33.875,10.25,75,184,4.75,4.27,37.1,LB
247,32,9.875,75,245,4.66,4.36,34.6,LB
223,33,9.5,75,212,4.59,4.41,32.6,LB
267,34.5,10.25,76,195,4.72,4.31,31.3,LB
199,31.375,9.375,72,185,4.63,4.26,32.2,DB
192,31.75,8.25,73,194,4.84,4.33,32.8,DB
193,33.25,9.5,72,183,4.5,4.32,33.7,DB
199,30.875,9.25,73,177,4.44,4.21,40.2,DB
212,32.375,10.5,73,185,4.52,4.44,35.6,DB
176,30.625,8.125,70,160,4.44,3.93,38,DB
197,31.375,9.125,71,185,4.46,4.13,32.5,DB
211,32.75,10.625,73,203,4.59,4.12,36.9,DB
209,33.375,9.5,72,190,4.54,4.04,40.9,DB
171,32.25,9,74,161,4.59,4.43,33.5,DB
185,31.375,9.375,72,165,4.63,4.03,32.5,DB
216,31.125,9.75,72,205,4.52,4.41,28.5,DB
193,31.5,9.25,71,175,4.49,4.35,35.2,DB
183,30.625,9.125,69,155,4.71,4.3,28.5,DB
216,32.625,9.25,75,190,4.94,NA,29,QB
213,32.25,9.625,75,195,4.62,4.06,36.6,QB
213,32.25,9.625,75,195,4.62,4.06,36.6,QB
221,33,9.75,75,190,4.89,4.24,34.2,QB
