Source_File,Name,Link,Height,Weight,Dash40,Shuttle20,Vertical,Position,SPARQ,Power_Throw
1,James Wilder Jr.,https://www.espn.com/college-sports/football/recruiting/player/_/id/96998/james-wilder-jr,74,219,4.77,4.55,27,at,NA,NA
1,A.C. Leonard,https://www.espn.com/college-sports/football/recruiting/player/_/id/85823/ac-leonard,75,232,4.7,4.47,42,at,NA,NA
1,Amir Carlisle,https://www.espn.com/college-sports/football/recruiting/player/_/id/97735/amir-carlisle,70,181,4.41,NA,38,at,NA,NA
1,Miles Shuler,https://www.espn.com/college-sports/football/recruiting/player/_/id/86636/miles-shuler,70,167,4.48,4.12,41.6,at,NA,NA
1,Dondi Kirby,https://www.espn.com/college-sports/football/recruiting/player/_/id/86263/dondi-kirby,74,191,4.61,4.19,34.6,at,NA,NA
1,Melvin Gordon,https://www.espn.com/college-sports/football/recruiting/player/_/id/88069/melvin-gordon,72,182,4.52,4.31,40.2,at,NA,NA
1,Raheem Mostert,https://www.espn.com/college-sports/football/recruiting/player/_/id/108733/raheem-mostert,71,170,4.63,4.47,33.7,at,NA,NA
1,Damiere Byrd,https://www.espn.com/college-sports/football/recruiting/player/_/id/86686/damiere-byrd,69,155,4.26,4.18,34.6,at,NA,NA
1,DeAndre Washington,https://www.espn.com/college-sports/football/recruiting/player/_/id/98606/deandre-washington,68,190,4.61,4.19,34.5,at,NA,NA
1,Quentin Gause,https://www.espn.com/college-sports/football/recruiting/player/_/id/101353/quentin-gause,73,206,NA,4.57,31,at,NA,NA
1,Chris Milton,https://www.espn.com/college-sports/football/recruiting/player/_/id/105125/chris-milton,71,172,4.68,4.65,32,at,NA,NA
1,Odell Beckham Jr.,https://www.espn.com/college-sports/football/recruiting/player/_/id/103301/odell-beckham-jr,71,179,4.5,4.34,33.5,at,NA,NA
1,Corey Tindal,https://www.espn.com/college-sports/football/recruiting/player/_/id/105701/corey-tindal,69,165,4.57,4.31,33,at,NA,NA
1,Terrance Floyd,https://www.espn.com/college-sports/football/recruiting/player/_/id/101397/terrance-floyd,70,188,4.79,4.59,30.7,at,NA,NA
1,Chris Hall,https://www.espn.com/college-sports/football/recruiting/player/_/id/106327/chris-hall,76,228,4.79,4.4,33.6,at,NA,NA
1,Sherman Ragland,https://www.espn.com/college-sports/football/recruiting/player/_/id/109885/sherman-ragland,73,190,4.5,4.25,35,at,NA,NA
1,Jeremiah Hendy,https://www.espn.com/college-sports/football/recruiting/player/_/id/92753/jeremiah-hendy,73,188,4.4,4.31,35.8,at,NA,NA
1,Jeff Greene,https://www.espn.com/college-sports/football/recruiting/player/_/id/89520/jeff-greene,77,192,4.81,4.28,32,at,NA,NA
1,Ezekiel Bishop,https://www.espn.com/college-sports/football/recruiting/player/_/id/100155/ezekiel-bishop,69,182,4.6,4.31,31,at,NA,NA
2,Davonte Neal,https://www.espn.com/college-sports/football/recruiting/player/_/id/81547/davonte-neal,70,175,4.47,4.13,35.7,at,NA,NA
2,Stefon Diggs,https://www.espn.com/college-sports/football/recruiting/player/_/id/113715/stefon-diggs,72,185,4.45,4.29,31.5,at,NA,NA
2,Cyrus Jones,https://www.espn.com/college-sports/football/recruiting/player/_/id/113749/cyrus-jones,71,185,4.46,4.13,32.5,at,NA,NA
2,Ricardo Louis,https://www.espn.com/college-sports/football/recruiting/player/_/id/106054/ricardo-louis,74,200,4.55,4.25,40.1,at,NA,NA
2,Randy Johnson,https://www.espn.com/college-sports/football/recruiting/player/_/id/119126/randy-johnson,69,180,4.42,4.1,38.6,at,NA,NA
2,Devin Fuller,https://www.espn.com/college-sports/football/recruiting/player/_/id/112653/devin-fuller,73,190,4.77,4.43,25,at,NA,NA
2,Joel Caleb,https://www.espn.com/college-sports/football/recruiting/player/_/id/112713/joel-caleb,74,205,4.68,4.3,31.9,at,NA,NA
2,Alex Carter,https://www.espn.com/college-sports/football/recruiting/player/_/id/116961/alex-carter,73,190,4.42,4,38.4,at,NA,NA
2,Brian Kimbrow,https://www.espn.com/college-sports/football/recruiting/player/_/id/115719/brian-kimbrow,67,165,4.44,4.25,25.5,at,NA,NA
2,Daje Johnson,https://www.espn.com/college-sports/football/recruiting/player/_/id/130448/daje-johnson,69,180,4.34,4.01,40.8,at,NA,NA
2,Corey Coleman,https://www.espn.com/college-sports/football/recruiting/player/_/id/110286/corey-coleman,71,175,4.41,3.8,37.6,at,NA,NA
2,Darion Monroe,https://www.espn.com/college-sports/football/recruiting/player/_/id/115397/darion-monroe,70,165,4.55,4.47,31.5,at,NA,NA
2,Armani Reeves,https://www.espn.com/college-sports/football/recruiting/player/_/id/112906/armani-reeves,71,185,4.51,4.05,36.1,at,NA,NA
2,Demitrious Davis,https://www.espn.com/college-sports/football/recruiting/player/_/id/107912/demitrious-davis,69,185,4.67,4.22,32.2,at,NA,NA
2,Demetrious Cox,https://www.espn.com/college-sports/football/recruiting/player/_/id/135028/demetrious-cox,72,192,4.71,4.33,33.6,at,NA,NA
2,Maurice Fleming,https://www.espn.com/college-sports/football/recruiting/player/_/id/119699/maurice-fleming,72,180,4.68,4.38,28,at,NA,NA
2,Steve Longa,https://www.espn.com/college-sports/football/recruiting/player/_/id/135144/steve-longa,72,210,4.73,4.37,34.2,at,NA,NA
2,James Summers,https://www.espn.com/college-sports/football/recruiting/player/_/id/127773/james-summers,73,192,4.74,4.62,27,at,NA,NA
2,David Perkins,https://www.espn.com/college-sports/football/recruiting/player/_/id/114178/david-perkins,73,220,4.43,4.21,36.5,at,NA,NA
2,Demeitre Brim,https://www.espn.com/college-sports/football/recruiting/player/_/id/118741/demeitre-brim,74,188,4.8,4.68,23.5,at,NA,NA
2,Lloyd Grogan,https://www.espn.com/college-sports/football/recruiting/player/_/id/115417/lloyd-grogan,73,210,4.69,4.47,29,at,NA,NA
2,Shawn Pierre,https://www.espn.com/college-sports/football/recruiting/player/_/id/129562/shawn-pierre,71,168,4.95,4.66,26,at,NA,NA
2,Jaydon Mickens,https://www.espn.com/college-sports/football/recruiting/player/_/id/94282/jaydon-mickens,69,170,4.55,4.01,36.4,at,NA,NA
2,Marty Williams,https://www.espn.com/college-sports/football/recruiting/player/_/id/110683/marty-williams,73,200,4.73,4.47,34.4,at,NA,NA
2,Deontay McManus,https://www.espn.com/college-sports/football/recruiting/player/_/id/109419/deontay-mcmanus,73,210,4.66,4.19,31.2,at,NA,NA
2,Jay Jay McCullough,https://www.espn.com/college-sports/football/recruiting/player/_/id/110581/jay-jay-mccullough,76,233,4.54,4.35,33.6,at,NA,NA
2,Cedric Dozier,https://www.espn.com/college-sports/football/recruiting/player/_/id/99915/cedric-dozier,71,175,4.64,4.27,28.9,at,NA,NA
2,Kolby Listenbee,https://www.espn.com/college-sports/football/recruiting/player/_/id/93685/kolby-listenbee,72,166,4.44,4.11,36.1,at,NA,NA
2,Alonzo Moore,https://www.espn.com/college-sports/football/recruiting/player/_/id/114485/alonzo-moore,74,182,4.58,4.45,33,at,NA,NA
2,Dennis Andrews,https://www.espn.com/college-sports/football/recruiting/player/_/id/110719/dennis-andrews,70,177,4.64,4.25,31.8,at,NA,NA
2,Herb Waters,https://www.espn.com/college-sports/football/recruiting/player/_/id/123933/herb-waters,72,173,4.51,4.15,35.6,at,NA,NA
2,Vegas Harley,https://www.espn.com/college-sports/football/recruiting/player/_/id/110831/vegas-harley,72,185,4.79,4.47,25.5,at,NA,NA
